|Count
Galle, Cornelis (II)|189
Nanteuil, Robert|188
Passe, Crispijn van de (II)|187
Coclers, Louis Bernard|183
Dujardin, Karel|181
Bruyn, Abraham de|179
Bemme, Joannes|179
Schenk, Pieter (I)|177
Noorde, Cornelis van|177
Houbraken, Arnold|174
Pencz, Georg|172
Berge, Pieter van den|169
Cranach, Lucas (I)|169
Bloteling, Abraham|167
Gaal, Jacobus Cornelis|167
Chalon, Jan|165
Tiepolo, Giovanni Domenico|164
Liender, Paulus van|162
Galle, Theodoor|161
Goeree, Jan|159
Roghman, Roelant|158
Andriessen, Jurriaan|157
Beijer, Jan de|155
Goya y Lucientes, Francisco José de|154
Savery, Salomon|154
Nijmegen, Elias van|154
Lievens, Jan|153
Blon, Michiel le|153
Brouwer, Cornelis|152
Borcht, Pieter van der (I)|152
Hokusai, Katsushika|152
Bry, Johann Theodor de|151
Krausz, Simon Andreas|150
Borch, Gerard ter (II)|148
Custos, Dominicus|147
Muller, Harmen Jansz|145
Schley, Jacob van der|145
Cornelisz. van Oostsanen, Jacob|143
Utamaro, Kitagawa|142
Bosch, Cornelis|142
Collaert, Hans (I)|141
Saftleven, Herman|141
Lange, Johannes Philippus|138
Altdorfer, Albrecht|137
Groenewegen, Gerrit|137
Holbein, Hans (II)|137
Cootwijck, Jurriaan|137
Jode, Pieter de (I)|136
Nijmegen, Dionys van|135
Dalen, Cornelis van (I)|134
Borch, Gerard ter (I)|130
Collaert, Jan (II)|130
Nolthenius de Man, Anthonie Willem Hendrik|128
Huys, Frans|127
Dyck, Anthony van|126
Gouwen, Gilliam van der|125
Allard, Carel|124
Hogenberg, Nicolaas|123
Persijn, Reinier van|123
Velde, Jan van de (II)|123
Isendoorn à Blois, baron Reinierus Albertus Ludovicus van|121
Chalon, Christina|118
Bailliu, Pieter de (I)|118
Os, Pieter Gerardus van|117
Dalen, Cornelis van (II)|117
Meissonnier, Juste Aurèle|116
Gole, Jacob|115
Matham, Adriaen|115
Fritzsch, Christian Friedrich|115
Natalis, Michel|115
Schouman, Aert|114
Feddes van Harlingen, Pieter|114
Quast, Pieter Jansz.|114
Dolendo, Bartholomeus Willemsz.|113
Wit, Jacob de|113
Heyden, Pieter van der|112
Reckleben, Jan Frederik Christiaan|111
Doetechum, Joannes van (I)|109
Huchtenburg, Jan van|108
Anthonisz., Cornelis|108
De Grieksche A|108
Frey, Johannes Pieter de|107
Hartogensis, Joseph|106
Genoels, Abraham|106
Velde, Adriaen van de|104
Dolendo, Zacharias|103
Faber, Frédéric Théodore|100
Kunisada (I), Utagawa|100
Barbiers, Pieter Bartholomeusz.|100
Ossenbeeck, Jan van|99
Meester van Delft|99
Kabel, Adriaen van der|99
Pontius, Paulus|98
Gakutei, Yashima|98
Sallieth, Mathias de|98
Mulder, Joseph|97
Panderen, Egbert van|97
Goyen, Jan van|96
Decker, Coenraet|95
Meyssens, Cornelis|95
Brussel, Hermanus van|95
Collin, Richard|95
Demarteau, Gilles|95
onbekend|95
Glauber, Johannes|94
Schongauer, Martin|94
Hulk, Abraham Jacobsz.|94
Muys, Robbert|93
Hokkei, Tokiyuki|93
Verkolje, Nicolaas|91
Danckerts, Cornelis (I)|90
Bendorp, Johannes Christiaan|90
Allard, Abraham|90
Massijs, Cornelis|89
Bingham, Robert Jefferson|87
Bakker, Barent de|86
Holsteyn, Pieter (II)|85
Breen, Adam van|84
Jode, Gerard de|84
Danckerts, Dancker|84
Furnius, Pieter Jalhea|84
Teyler, Johan|84
Lamsvelt, Jan|83
Dusart, Cornelis|83
Dubourg, Louis Fabritius|83
Falck, Jeremias|83
Nijmegen, Gerard van|82
Scherm, Laurens|81
Meester van het Amsterdamse Kabinet|81
Scheyndel, Gillis van (I)|80
Post, Pieter Jansz.|80
Emaus de Micault, Gerardus|79
Jansz, Pieter|79
Bol, Hans|79
Chevalier, Nicolas|78
Dubourcq, Pierre Louis|78
Tempesta, Antonio|78
Segers, Hercules|77
Grient, Cornelis van der|76
Blois, Abraham de|76
Ferrier & F. von Martens, C.M.|76
Delaune, Etienne|75
Hagen, Christiaan|75
Du Ry de Champdoré, Samuel|74
Kaiser, Johann Wilhelm (I)|74
Oosterhuis, Pieter|74
Bogerts, Cornelis|73
Cock, Hieronymus|73
Ertinger, Franz|73
Fargue van Nieuwland, Isaac Lodewijk la|72
Hodges, Charles Howard|72
Grave, Josua de|72
Grave, Jan Evert|72
Passe, Simon van de|72
Punt, Jan|72
Bega, Cornelis Pietersz.|72
Gronsveld, Johannes|71
Potter, Paulus|71
Jelgerhuis, Rienk|71
Bol, Ferdinand|71
Meckenem, Israhel van|71
Brasser, Leendert|71
Basse, Willem|71
Grandjean, Jean|70
Quellinus, Hubert|69
Leonard, Johann Friedrich|69
Koninklijke Porseleinfabriek Dommer & Co.|69
Uden, Lucas van|68
Janson, Johannes Christiaan|68
Cornet, Jacobus Ludovicus|68
Lefebvre, Valentin|67
Neefs, Jacob|67
Goltzius, Julius|66
Audenaerd, Robert van|66
Troost, Cornelis|66
Den Haag, Porseleinfabriek|66
Admiral, Jan l'|66
Jamnitzer, Christoph|66
Hausdorff|66
Delamotte, Philip Henry|66
Kessel, Theodorus van|66
Cats, Jacob (1741-1799)|66
Pickaert, Pieter|66
Lommelin, Adriaen|65
Queborn, Crispijn van den|65
Tiepolo, Giovanni Battista|65
Boyvin, René|65
Fuchs, Carl Cristiaan|64
Pitau, Nicolas (I)|64
Buysen, Andries van (Sr.)|64
Emerson, Peter Henry|64
Janson, Pieter|64
Velde, Willem van de (I)|62
Caspari, Jan Willem|62
Roosing, Hendrik|62
Aveele, Johannes Jacobsz van den|61
Vlieger, Simon de|61
Frith, Francis|61
Cuyp, Aelbert|61
Voet 430|61
Munnickhuysen, Johannes Willemsz.|61
Venne, Adriaen Pietersz. van de|60
Baudous, Robert de|60
Lafeuille, Daniel de|59
Huygens, Constantijn (II)|59
Hansen, Carel Lodewijk|59
Dasveldt, Jan|59
Vianen, Jan van|59
Breenbergh, Bartholomeus|59
Mallery, Karel van|59
Best, Johannes Alexander Rudolf|58
Gellée (genaamd Le Lorrain), Claude|58
Mantegna, Andrea|58
Almeloveen, Jan van|58
Sadeler, Raphaël (II)|58
Heyden, Jan van der|57
Voogd, Hendrik|57
Bloemaert, Abraham|57
Hiroshige (I), Utagawa|56
Heenck, Jabes|56
Londerseel, Jan van|56
Lacomblé, Eugène|56
Geel, Joost van|56
Vanmour, Jean Baptiste|55
Bakhuysen, Ludolf|55
Clouwet, Petrus|55
Engelbrecht, Martin|54
Castiglione, Giovanni Benedetto|54
Meertens, Abraham|54
Bos, Balthazar van den|54
Noé, Michel|54
Beham, Barthel|54
Hoogstraten, Samuel van|54
Moucheron, Isaac de|54
Thulden, Theodoor van|53
Call, Jan van (I)|53
Langendijk, Dirk|53
Boucher, François|53
Kuytenbrouwer, Martinus Antonius (jr.)|53
Thompson, Charles Thurston|53
Saftleven, Cornelis|53
Quellinus, Artus (I)|53
Binck, Jakob|52
Brosterhuyzen, Jan van|52
Bulthuis, Jan|52
Elandts, Cornelis|52
Matthysz., Jan|52
Halen, Arnoud van|52
Vaillant, Wallerant|52
Nieuwhoff, Walraad|52
Velde, Willem van de (II)|52
Both, Jan|52
Bouttats, Frederik (de Oude)|52
Boel, Quirin|52
Burgkmair, Hans (der Ältere)|51
Orley, Richard van|51
Baldung Grien, Hans|51
Worm, Nicolaas van der|51
Vauquer, Jacques|51
Waterloo, Anthonie|51
Caukercken, Cornelis van|51
Josi, Christiaan|51
Pool, Matthijs|51
Megen, Pieter Willem van|50
Meulen, Pieter van der|50
De Metalen Pot|50
Maas, Dirk|50
Clouwet, Albertus|50
Drielst, Egbert van|50
Ryckmans, Nicolaes|50
Leth, Hendrik de|50
Firens, Pierre|50
Jonxis, Pieter Hendrik|49
Bouzonnet, Françoise|49
Brondgeest, Albertus|49
Frankendaal, Nicolaas van|49
Shinsai, Ryuryukyo|49
Neyts, Gilles|48
Janssen, Hans|48
Perrissin, Jean|48
Salzmann, Auguste|47
Beek, Jan Lucas van der|47
Dielen, Willem Matthias Jan van|47
Kuniyoshi, Utagawa|47
Kesteren, Christiaan Lodewijk van|47
Valck, Gerard|47
Pfeiffer, François Joseph (I)|47
Wegner & Mottu|47
Moorrees, Christiaan Wilhelmus|47
Boudewyns, Adriaen Frans|47
Jelgerhuis, Johannes|47
Rahms, Eberhard Cornelis|46
Caspari, Hendrik Willem|46
Barra, Johan|46
Bronchorst, Jan Gerritsz. van|45
Jordis, Henrik|45
Bernards, Balthasar|45
Roode, Theodorus de|45
Brouwer, Anna Catharina|45
Laer, Pieter Bodding van|45
Mare, Johannes de|45
Hisgen & Co., O.|45
Lamsweerde, Steven van|45
Bonnet, Louis Marin|45
Harunobu, Suzuki|44
Borrekens, Mattheus|44
Monogrammist AC (16e eeuw)|44
Geilkercken, Nicolaes van|44
Toyokuni (II), Utagawa|44
Spilman, Hendrik|44
Cuylenburgh, Johannes van|44
Netscher, Caspar|43
Fijt, Jan|43
Aken, Jan van|43
Buytewech, Willem Pietersz.|43
Mock, Johannes|43
Heyden, Jacob van der|43
Leest, Antoni van|43
Ruisdael, Jacob Isaacksz. van|43
Mosijn, Michiel|43
Fargue, Paulus Constantijn la|43
Rochussen, Charles|43
Cleve, Hendrick van|43
Haer, Anthonij van der|43
Breen, Gillis van|42
Kiyonaga, Torii|42
Novelanus, Symon|42
Schenk, Leonard|42
Leoni, Ottavio Mario|42
Bast, Pieter|42
Ducerceau, Paul Androuet|42
Sibmacher, Hans|42
Rucholle, Petrus|41
Bakker, Frans de|41
Terwesten, Mattheus|41
Lutma, Jacob|41
Does, Antony van der|41
Haanen, Remigius Adrianus|41
Molijn, Pieter de|41
Braeu, Nicolaas|41
Terwesten, Augustinus (I)|41
Winter, Anthonie de|41
Saenredam, Jan|41
Géricault, Théodore|41
Berckenrode, Balthasar Florisz. van|41
Lons, Dirk Eversen|40
Berckenrode, Floris Balthasarsz. van|40
Hecke, Jan van den (I)|40
Loir, Nicolas Pierre|40
Bramer, Leonaert|40
Gerritsz, Hessel|40
Ratelband, erven de weduwe J.|40
Bremden, Daniël van den|39
Hoorn, Jordanus|39
Oberman, Anthony|39
Moeyaert, Nicolaes|39
Quinkhard, Jan Maurits|39
Meyeringh, Albert|39
Hoogkamer, Willem Hendrik|39
Hondius, Willem|39
Rubens, Peter Paul|39
Owen, Hugh|38
Ricci, Marco|38
Greiner, Albert|38
Besoet, Iven|38
Schut, Pieter Hendricksz.|38
Umbach, Jonas|38
Kobell, Hendrik|37
Hulswit, Jan|37
Lamberts, Gerrit|37
Maes, Nicolaes|37
Kitsen, Govert|37
Montano, Giovanni Battista|37
Philippe, Pieter|37
Hoolaart, Jacob|36
Kilian, Lucas|36
Visscher, Cornelis (II)|36
Avont, Pieter van|36
Huyberts, Cornelis|36
Serwouters, Pieter|36
Böckler, Georg Andreas|36
Fragonard, Jean Honoré|36
Witsen, Willem|36
Eisen, Keisai|36
Weesper porseleinfabriek|36
Overbeek, Leendert|35
Haelwegh, Adriaen|35
Strij, Abraham van (I)|35
Hoefnagel, Jacob|35
Lutma, Johannes (II)|35
Jongkind, Johan Barthold|35
Dupré, Daniël|35
Broeck, Crispijn van den|35
Velijn, Philippus|35
Panneels, Willem|35
Rijkelijkhuysen, Hermanus Jan Hendrik van|35
Keyser, Hendrik de (I)|35
Bril, Paul|34
Martszen de Jonge, Jan|34
Solis, Virgilius (I)|34
Pfeiffer, François Joseph (II)|34
Kobell, Jan (I)|34
Palma, Jacopo (il Giovane)|34
Kramer, Gabriel|34
Werff, Pieter van der|34
Nijpoort, Justus van den|34
Kuyper, Jacques|34
Merlen, Theodor van (II)|34
Corvinus, Johann August|34
Liotard, Jean-Etienne|34
Passe, Magdalena van de|34
Danckerts, Hendrick|33
Kok, Willem|33
Cooghen, Leendert van der|33
Barbé, Jan-Baptist|33
Amstel, Porceleinfabriek aan den|33
Krafft, Jan Lauwryn (I)|33
Gheyn, Jacob de (III)|33
Heemskerck, Maarten van|33
Gunst, Philip van|33
Parmigianino|33
Schoonebeek, Adriaen|33
Jongman, Wouter|33
Broen, Willem de|32
Both, Andries|32
Lochom, Bartholomeus van|32
Bilders, Gerard|32
Koryusai, Isoda|32
Plattenberg, Matthieu van|32
Citters, G. van|32
Thier, Barend Hendrik|32
Egmont, erven weduwe Jacobus van|32
Kellen, David van der (II)|32
Leeuw, Govert van der|32
Hoecke, Robert van den|32
Kittensteyn, Cornelis van|32
Bles, David|32
Bisschop, Cornelis|32
Vinkeles, Harmanus|32
Boel, Cornelis|32
Klapmuts, Simon|32
Shunsho, Katsukawa|32
Mierevelt, Michiel Jansz. van|32
Vellert, Dirck|32
Kockers, George|31
Picart, H.|31
Schalcken, Godfried|31
Liender, Pieter Jan van|31
De drie posteleyne Astonne|31
Loir, Alexis (I)|31
Lastman, Pieter|31
Idserts, Pieter|31
Groenning, Gerard P.|31
Bruyn, Cornelis de|31
Bosse, Abraham|31
Ribera, Jusepe|31
Steen, Jan Havicksz.|31
Wierix, Hieronymus|30
Visscher, Claes Jansz.|30
Nègre, Charles|30
Godin, H.J.|30
Hoogers, Hendrik|30
Kubo Shumman|30
Strij, Jacob van|30
Eeckhout, Gerbrand van den|30
Morellon La Cave, François|30
Wierix, Johannes|30
De Porceleijne Bijl|30
Muntinck, Adriaen|30
Moncornet, Balthazar|29
Bray, Jan de|29
Watteau, Jean Antoine|29
Hulstkamp, Joannes|29
Meester van Antwerpen (I)|29
Geffen, Arnoldus van|29
Kobell, Jan (II)|29
Peeters, Bonaventura (I)|29
Huyser, Carel Jacob de|29
Borcht, Hendrik van der (de Jonge)|28
Grebber, Pieter Fransz. de|28
Jongelinck, Jan Baptist|28
Hendriks, Wybrand|28
Ghendt, Emmanuel Jean Nepomucene de|28
Teniers, David (II)|28
Folkema, Johannes Jacobsz|28
Ravesteyn, Jan Antonisz. van|28
Coster, David|28
Abdullah Frères|28
Bijlaert, Joannis Jacobus|28
Kruseman, Cornelis|28
Milatz, Franciscus Andreas|28
Ottens, Frederik|28
Doetechum, Baptista van|28
Simons, Francois Marcus|27
Tavenier, Hendrik|27
Cappelle, Jan van de|27
Meyssens, Joannes|27
Moor, Carel de (II)|27
Melder, Gerard|27
Monnoyer, Jean Baptiste|27
Akersloot, Willem Outgertsz.|27
Borssom, Anthonie van|27
Hochu, Nakamura|27
Bilderdijk, Willem|27
Langendijk, Pieter|26
Beerstraten|26
Coclers, Marie Lambertine|26
Avercamp, Hendrick|26
Blondeau, Jacques|26
Hillegaert, Pauwels van|26
Ikku, Jippensha|26
Janinet, Jean François|26
Doetechum, Lucas van|26
Stichter, erven weduwe Cornelis|26
Esselens, Jacob|26
Bouwer, Johannes|26
Robert, Hubert|26
Haeften, Nicolaes van|26
Bray, Dirck de|26
Lavallée-Poussin, Etienne de|25
Numan, Hermanus|25
Scorel, Jan van|25
Qualglio, Domenico|25
Mitelli, Giuseppe Maria|25
Barbari, Jacopo de'|25
Eynhoudts, Remoldus|25
Rabel, Daniel|25
Matteini, Teodoro|25
Meijer, Hendrik|25
Fuchs, Adam|25
Marchand, Jacques|25
Schouten, Gerrit|25
Boel, Peeter|25
Berterham, Jan Baptist|24
Swanevelt, Herman van|24
Swanenburg, Willem Isaacsz. van|24
Goes, Marinus Robyn van der|24
Hermans, J.|24
Onghena, Charles|24
Baptist, Jacobus|24
Duller, Hendrik|24
Moreau, Louis Gabriel|24
Hecken, Abraham van den|24
Wouwerman, Philips|24
Maglioli, Giovanni Andrea|24
Stopendael, Bastiaen|24
Verveer, Maurits|24
Lande, Willem van de|24
Cornelisz., Lambert|24
Casembroot, Abraham|24
Boland, Johannes Arnoldus|24
Aa, Pieter van der (I)|24
Immenraet, Philips Augustijn|23
Zuccaro, Federico|23
Monogrammist AG (15e eeuw)|23
Miel, Jan|23
Savery, Jacob (I)|23
Het Jonge Moriaenshoofd|23
Winter, Hendrik de|23
Krull, Germaine|23
Crespi, Giuseppe Maria|23
Bos, Jacobus|23
Kannewet, Joannes (II)|23
Savery, Roelant|23
Goeje, Pieter de|23
Schelfhout, Andreas|23
Lisebetten, Pieter van|23
Zijlvelt, Anthony van|23
Weenix, Jan|23
Goudt, Hendrick|23
Kunimasa, Utagawa|23
Stock, Andries Jacobsz.|23
Giancarli, Polifilo|23
Wicart, Nicolaas|23
Basan, Pierre François|23
Christ, Pieter Casper|23
Jelgersma, Tako Hajo|23
Roghman, Geertruydt|23
Kasemann, Rutger|23
Barocci, Federico|23
Baldus, Édouard Denis|23
Snijders, Michael|23
Meurs, Jacob van|23
Lochom, Michel van|22
Brueghel, Jan (I)|22
Lombard, Lambert|22
Plaut, Henri|22
Haagen, Joris van der|22
Bellange, Jacques|22
Meulen, Sieuwert van der|22
Drost, Willem|22
Endlich, Philippus|22
Andriessen, Christiaan|22
Cavedone, Giacomo|22
Stolker, Jan|22
Koning, Cornelis (?-1671)|22
Coecke van Aelst, Pieter (I)|22
Bosch, D. van den|22
Taurel, Benoit|22
Bisson Frères|22
Veen, Gijsbert van|22
Griffier, Jan (I)|22
Passe, Willem van de|22
Guercino|22
Drebbel, Cornelis Jacobsz.|22
Jordaens, Jacob (I)|22
Monogrammist IB (16e eeuw)|22
Cossin, Louis|22
Cardon, Antoine Alexandre Joseph|21
Call, Jan van (II)|21
Colizzi, Johan Antoni Kauclitz|21
Du Camp, Maxime|21
Renesse, Constantijn à|21
Ulft, Jacob van der|21
Veen, Otto van|21
Vorsterman, Lucas (II)|21
Le Roy, Henry|21
Hulsen, Friedrich van|21
Doesburgh, Thomas|21
Hiltrop, Johannes van|21
Barbiers Pieter Bartholomeuszoon, Pieter (IV)|21
Cok, Jan Matthias|21
Bérain, Jean (le Vieux)|21
Swart van Groningen, Jan|21
Naiwincx, Herman|21
Dietterlin, Wendel (I)|21
Breckerveld, Herman|21
Errard, Charles (fils)|20
Meulen, Roelof van der|20
Musscher, Michiel van|20
Wierix|20
Bie, Jacques de|20
Adam, Richard|20
Jong, Dirk de|20
Folkema, Anna|20
Clifford, Charles|20
Asselijn, Jan|20
Verheyden, Mattheus|20
Loo, Petrus van der|20
Pieneman, Jan Willem|20
Schmetterling, Joseph Adolf|20
Péril, Robert|20
Hanson, Jean Joseph|20
Xavery, Jan Baptist|20
Cochin, Nicolas|20
Furne, Charles Paul|20
Danckerts, Cornelis (II)|20
De Lampetkan|20
Dente, Marco|20
Honthorst, Gerard van|20
Le Gouaz, Yves Marie|20
Descourtis, Charles Melchior|20
De Roos|20
Knuysting, Cornelis|20
Fenton, Roger|20
Cardon, Antoine|19
Evans, Sophia Wilhelmina|19
Numan, Hendrik|19
Schellinks, Willem|19
Sorious, Isaac|19
Loon, Harmanus van|19
Casteels, Peter (III)|19
Gaal, Pieter|19
Momper, Joos de (II)|19
Wijck, Thomas|19
Mieris, Willem van|19
Heusch, Willem de|19
Mansvelt, Jan Izaak van|19
Taurel, Edouard|19
Vinne, Vincent Jansz. van der|19
Veenhuysen, Jan|19
Broen, Gerrit de (Sr.)|19
Blake, William|19
Wit, Izaak Jansz. de|19
Springinklee, Hans|19
Pothoven, Hendrik|19
Quinkhard, Julius Henricus|18
Jooss, George|18
Keere, Pieter van der|18
Lelie, Adriaan de|18
Neve, Franciscus de|18
Ruytenschildt, Abraham Johannes|18
Collignon, François|18
Leeuw, Jan de|18
Clock, Nicolaes Jansz.|18
Dou, Gerard|18
Fruytiers, Philip|18
Perino del Vaga|18
Mertens, Johannes Cornelis|18
Vico, Enea|18
Heppener, Jan|18
Lepautre, Pierre|18
Dregt, Johannes van|18
Vianen, Paulus Willemsz. van|18
Martenasie, Pieter Franciscus|18
Schiotling, Johannes|18
Vinne, Laurens Vincentsz. van der|18
Huys, Pieter|18
Lasne, Michel|18
Meijer, Cornelis|18
Tischbein, Johann Friedrich August|18
Rach, Johannes|18
Ziesenis, Bartholomeus|18
Kip, Johannes|18
Monogrammist MZ|18
Vos, Maerten de|18
Haelwegh, Albert|18
Berckheyde, Gerrit Adriaensz.|17
Leopold, Josef Friedrich|17
Lyonet, Pieter|17
Karsen, G.A.|17
Kuyper, J.|17
Doomer, Lambert|17
Poelenburch, Cornelis van|17
Koninck, Philips|17
Sandrart, Suzanne Maria von|17
Causé, Hendrik|17
De Porceleijne Schotel|17
Orley, Jan van|17
Munnich & Ermerins|17
Stoop, Dirk|17
Leen, Willem van|17
Ridder, Jan de|17
Lutz, A.|17
Conradus, Abraham J.|17
Mortier, Pieter (I)|17
Hondius, Hendrick|17
Hondecoeter, Melchior d'|17
Gucht, Michiel van der|17
Bol, Cornelis|17
Bourne, Samuel|17
Crabeth, Dirck Pietersz.|17
Mitelli, Agostino|17
Asmus, Joachim Pieter|17
Allebé, August|17
Odiot, Jean Baptiste Claude|17
Bouttats, Philibert|17
Maratti, Carlo|17
Boily, Charles Ange|17
Konsé, Gerrit|16
Kerkhoff, Daniël|16
Hirschvogel, Augustin|16
Mauger, Jean|16
Deyster, Lodewijk de|16
Penterman, Barend|16
Meyling, Abraham|16
Visscher, Jan de|16
Bruyn, Johanna de|16
Silvester, Alfred|16
Gourmont, Jean de (I)|16
Shuncho, Katsukawa|16
Snijders, Frans|16
Nieuwenhuysen, Hendrik|16
Griendt, Cornelis Ouboter van der|16
Garreau, Louis E.F.|16
Hackaert, Jan|16
Bleker, Gerrit|16
Meester van de Delbecq-Schreiber-Passie|16
Tournier, Georges|16
Manufacture Royale des Gobelins|16
Rennefeld, Johann Heinrich Maria Hubert|16
Liernur, Alexander|16
Hondius, Abraham Daniëlsz.|16
Dancx, Francoys|16
Alberti, Cherubino|16
Carracci, Annibale|16
Peeters, Gillis (I)|16
Wtewael, Joachim|16
Baur, Johann Wilhelm|16
Vis Blokhuyzen, Dirk|16
Sondagh, Rudolphus|16
Marot, Jean (I)|16
Guldenmund, Hans|16
Chodowiecki, Daniel Nikolaus|16
Call, Pieter van (II)|16
Dorigny, Michel|15
Schayck, Jan Eerstensz. van|15
Verkolje, Jan (I)|15
Louys, Jacob|15
Straet, Jan van der|15
Strant, Willem van|15
Janssens, J. Alexander|15
Marot, Daniël (II)|15
Bik, Adrianus Johannes|15
Troger, Simon|15
Hardenberg, Lambertus (1822-1900)|15
Rottermondt, Pieter|15
Gruyter, Willem (Jr.)|15
Koker, Anna Maria de|15
Huysum, Jan van|15
Meer, Noach van der (I)|15
Perkois, Jacob|15
Berkenboom, Martinus|15
Nelly, A. de|15
Begeyn, Abraham Jansz.|15
Smit, Jan (II)|15
Meer, Jan van der (II)|15
Marée, Hendrik Godart de|15
Werff, Adriaen van der|15
Padtbrugge, Herman|15
Ostade, Isaac van|15
Hopfer, Daniel (I)|15
Schouten, Hermanus Petrus|15
Knoop, Jan|15
Cleyn, Franz|15
Flinck, Govert|15
Storck, Abraham|15
Ruyter, Jan|15
Haen, Willem de|15
Nolte, J.|15
Meyling, Hendrik Leffert|15
Grasdorp, Gerrit|15
Höchst|15
Scheltema, Taco (I)|15
Brosamer, Hans|15
Creite, Ernst Ludwig|15
Perret, Pieter|15
Diemont, Fa.|14
Elliott, James|14
Jongman, Dirk|14
Hulsen, Esaias van|14
Vinckboons, David|14
Sadeler, Justus|14
Leuve, Roeland van|14
Moritz, Louis|14
Veith, Johann Philip|14
Saenredam, Pieter Jansz.|14
Martini, Benjamin|14
Pierretz, Antoine (le jeune)|14
Lutma, Johannes (I)|14
Ducq, Johan le|14
Musculus, F.W.|14
Maris, Matthijs|14
Israels, Isaac|14
Geest, Wybrand de|14
Mazel, Jean Zacherie|14
Löwenstam, Herman|14
Arendzen, Petrus Johannes|14
Blokhuysen, Reynier|14
Rozenburg, N.V. Haagsche Plateelfabriek|14
Polidoro da Caravaggio|14
De Witte Starre|14
Noordt, Jan van (1623-1676)|14
Lochon, René|14
Flindt, Paul (de Jonge)|14
Cigoli|14
Eishi, Hosoda|14
Dupont, Joseph|14
Verhulst, Rombout|14
Campen, Jacob van|14
Kooten, Lodewijk Willem van (II)|14
Pieneman, Nicolaas|14
Wandelaar, Jan|14
Boubers, N. de|14
Kobell, Jan (III)|14
Saint-Aubin, Gabriel Jacques de|14
Tortorel, Jacques|14
Gao Qipei|13
Michaëlis, Gerrit Jan|13
Sweerts, Michael|13
Liender, Jacob van|13
Mayer, Harmen de|13
Elandt, Hendrik|13
Horthemels, Louise Magdeleine|13
Lijnhoven, Nicolaes van|13
Brouwer, Adriaen|13
Daiwaille, Jean Augustin|13
Gaudin, Alexis|13
Fer, Nicolas de|13
Loggan, David|13
Gheeraerts, Marcus (I)|13
Tetar van Elven, Jan Baptist|13
Lingelbach, Johannes|13
Ruysdael, Salomon van|13
Ruyscher, Jan|13
Bella, Stefano della|13
Cuylenburg, Cornelis van (II)|13
Veen, Jan van der (prentmaker)|13
Eizan, Kikugawa|13
Liefrinck, Hans (I)|13
Vadder, Lodewijk de|13
Marot, Daniël|13
Hoogsaat, Jan|13
Beek, Antonie van der|13
Eillarts, Laurens|13
Cambiaso, Luca|13
Somer, Jan van|13
Xaveri, Pieter|13
Bosch, Johannes de|13
